  Configurations: 840
  sell_pressure: 0.50 – 1.00 (step 0.10)
  base_spread: 0.10 – 0.30 (step 0.05)
  max_change: 0.50 – 2.00 (step 0.25)
  trend_dampening: 0.000 – 0.150 (step 0.050)
  Duration: 2016 ticks (7 days)
sell_pressure_multiplier,base_spread,max_price_change_percent,trend_dampening,avg_price_displacement_pct,avg_volatility,avg_final_bpd_pct,avg_final_spd_pct,final_gdp,final_debt,debt_gdp_ratio,total_tx,buy_ratio,stable,active_loans,defaulted_loans
0.50,0.10,0.50,0.000,-41.18,0.0035,1.934,2.234,41627.41,423936.39,10.184,1592,0.322,1,8,0
0.50,0.10,0.50,0.050,-34.96,0.0028,2.264,2.694,132556.35,173806.55,1.311,2196,0.346,1,7,0
0.50,0.10,0.50,0.100,-32.65,0.0020,1.443,1.677,115192.98,286824.53,2.490,2664,0.391,1,7,0
0.50,0.10,0.50,0.150,-41.62,0.0065,2.630,3.381,142670.83,892420.27,6.255,2093,0.314,1,8,0
0.50,0.10,0.75,0.000,-44.21,0.0037,1.839,2.054,10092.52,344824.32,34.166,2074,0.332,1,8,0
0.50,0.10,0.75,0.050,-35.93,0.0031,1.556,1.708,141190.43,330481.87,2.341,2554,0.376,1,8,0
0.50,0.10,0.75,0.100,-42.38,0.0079,1.906,2.259,35450.84,522840.82,14.748,1484,0.371,1,8,0
0.50,0.10,0.75,0.150,-46.85,0.0102,2.371,2.717,14529.44,137698.96,9.477,1675,0.295,1,8,0
0.50,0.10,1.00,0.000,-44.54,0.0068,1.686,1.927,9695.22,106452.42,10.980,846,0.426,1,8,0
0.50,0.10,1.00,0.050,-42.09,0.0064,1.526,1.680,33494.94,397948.38,11.881,1607,0.370,1,8,0
0.50,0.10,1.00,0.100,-34.78,0.0032,1.514,1.812,340852.93,496959.21,1.458,3017,0.408,1,8,0
0.50,0.10,1.00,0.150,-44.88,0.0045,2.165,2.358,18296.48,528184.87,28.868,1864,0.374,1,8,0
0.50,0.10,1.25,0.000,-44.17,0.0055,2.298,2.592,43473.01,206214.97,4.744,1472,0.462,1,9,0
0.50,0.10,1.25,0.050,-48.25,0.0066,2.634,2.928,5688.63,86362.71,15.182,1131,0.368,1,8,0
0.50,0.10,1.25,0.100,-50.66,0.0068,1.974,2.127,6681.11,92728.11,13.879,1014,0.428,1,8,0
0.50,0.10,1.25,0.150,-47.06,0.0088,2.493,2.707,14970.70,44914.76,3.000,1763,0.426,1,7,0
0.50,0.10,1.50,0.000,-41.83,0.0055,1.767,1.975,85584.92,588695.02,6.878,2666,0.387,1,7,0
0.50,0.10,1.50,0.050,-46.23,0.0175,1.695,1.932,10271.16,57411.96,5.590,946,0.446,1,8,0
0.50,0.10,1.50,0.100,-46.14,0.0146,1.727,2.178,1564.15,97229.62,62.161,1420,0.467,1,8,0
0.50,0.10,1.50,0.150,-47.69,0.0057,2.955,3.176,33090.94,77801.47,2.351,1681,0.366,1,8,0
0.50,0.10,1.75,0.000,-50.33,0.0132,2.419,2.658,32797.14,277427.27,8.459,2144,0.417,1,9,0
0.50,0.10,1.75,0.050,-46.76,0.0138,2.024,2.209,7611.48,180849.85,23.760,1448,0.411,1,8,0
0.50,0.10,1.75,0.100,-42.86,0.0068,2.084,2.272,3711.87,132990.92,35.829,1539,0.476,1,8,0
0.50,0.10,1.75,0.150,-54.72,0.0137,2.276,2.401,3436.60,81047.29,23.584,1353,0.409,1,8,0
0.50,0.10,2.00,0.000,-54.68,0.0080,1.773,1.872,7019.66,61577.22,8.772,1373,0.444,1,7,0
0.50,0.10,2.00,0.050,-53.83,0.0083,1.954,2.147,11692.26,21134.26,1.808,1087,0.487,1,7,0
0.50,0.10,2.00,0.100,-53.43,0.0178,1.745,1.878,19004.63,152028.86,8.000,1078,0.579,1,9,0
0.50,0.10,2.00,0.150,-43.56,0.0107,1.476,1.564,70851.34,260567.54,3.678,2157,0.471,1,8,0
0.50,0.15,0.50,0.000,-35.28,0.0045,2.671,3.158,114493.09,624526.10,5.455,2329,0.337,1,8,0
0.50,0.15,0.50,0.050,-42.47,0.0034,2.394,2.737,22876.18,232104.01,10.146,1601,0.354,1,8,0
0.50,0.15,0.50,0.100,-42.57,0.0042,4.006,4.803,29085.51,385856.49,13.266,1909,0.317,1,8,0
0.50,0.15,0.50,0.150,-38.02,0.0051,2.351,2.893,187498.76,605297.33,3.228,2709,0.368,1,8,0
0.50,0.15,0.75,0.000,-43.75,0.0072,3.551,4.279,12571.38,280494.21,22.312,1393,0.378,1,8,0
0.50,0.15,0.75,0.050,-46.19,0.0047,2.748,3.405,16316.49,134462.23,8.241,1061,0.388,1,8,0
0.50,0.15,0.75,0.100,-46.87,0.0076,4.500,5.287,2705.97,200027.73,73.921,1845,0.289,1,8,0
0.50,0.15,0.75,0.150,-39.68,0.0102,3.538,4.135,10121.55,216650.74,21.405,1866,0.372,1,8,0
0.50,0.15,1.00,0.000,-45.28,0.0042,2.631,3.033,25306.91,141770.41,5.602,912,0.352,1,8,0
0.50,0.15,1.00,0.050,-46.70,0.0046,2.539,2.685,33216.67,259897.34,7.824,1313,0.346,1,8,0
0.50,0.15,1.00,0.100,-40.53,0.0060,2.998,3.624,69765.97,115203.55,1.651,2850,0.398,1,7,0
0.50,0.15,1.00,0.150,-39.97,0.0025,3.622,3.906,16634.40,223011.20,13.407,2049,0.411,1,8,0
0.50,0.15,1.25,0.000,-49.30,0.0275,4.369,5.291,10395.39,100191.27,9.638,1415,0.401,1,8,0
0.50,0.15,1.25,0.050,-48.82,0.0195,2.715,3.226,10971.98,60473.21,5.512,1351,0.391,1,7,0
0.50,0.15,1.25,0.100,-46.77,0.0085,2.178,2.449,30327.76,261874.03,8.635,1053,0.392,1,8,0
0.50,0.15,1.25,0.150,-50.93,0.0046,2.785,3.098,47537.76,410599.33,8.637,1735,0.400,1,8,0
0.50,0.15,1.50,0.000,-41.89,0.0046,2.502,2.641,23751.02,171339.59,7.214,1636,0.396,1,8,0
0.50,0.15,1.50,0.050,-43.64,0.0064,4.777,5.176,111471.21,201642.14,1.809,2922,0.418,1,7,0
0.50,0.15,1.50,0.100,-49.39,0.0101,4.710,5.083,8153.45,150172.35,18.418,1226,0.458,1,8,0
0.50,0.15,1.50,0.150,-53.57,0.0068,3.263,3.525,10287.23,192587.63,18.721,1727,0.354,1,8,0
0.50,0.15,1.75,0.000,-50.79,0.0057,2.623,2.838,32816.15,514889.28,15.690,2651,0.437,1,8,0
0.50,0.15,1.75,0.050,-44.24,0.0152,3.644,3.987,19367.69,140500.51,7.254,2100,0.475,1,7,0
0.50,0.15,1.75,0.100,-46.11,0.0067,2.936,3.316,107358.24,588414.33,5.481,2782,0.430,1,8,0
0.50,0.15,1.75,0.150,-50.79,0.0078,3.148,3.308,29642.39,299123.58,10.091,1129,0.516,1,8,0
0.50,0.15,2.00,0.000,-54.43,0.0362,4.176,4.948,12828.06,52943.86,4.127,1065,0.510,1,8,0
0.50,0.15,2.00,0.050,-41.15,0.0134,1.960,2.105,75005.41,324294.96,4.324,2961,0.451,1,8,0
0.50,0.15,2.00,0.100,-52.29,0.0097,2.551,2.824,16945.67,192031.30,11.332,1061,0.453,1,8,0
0.50,0.15,2.00,0.150,-44.51,0.0063,2.190,2.319,41736.89,134004.14,3.211,1244,0.514,1,9,0
0.50,0.20,0.50,0.000,-39.95,0.0046,5.146,6.115,7784.53,50377.99,6.472,1100,0.281,1,7,0
0.50,0.20,0.50,0.050,-43.23,0.0049,5.171,6.272,13834.01,277823.82,20.083,1696,0.290,1,8,0
0.50,0.20,0.50,0.100,-40.75,0.0045,3.967,4.389,5063.32,104019.65,20.544,1128,0.268,1,7,0
0.50,0.20,0.50,0.150,-30.78,0.0034,4.443,5.613,97466.76,362023.71,3.714,2104,0.333,1,8,0
0.50,0.20,0.75,0.000,-40.86,0.0071,4.222,4.867,26730.28,135174.98,5.057,1688,0.421,1,8,0
0.50,0.20,0.75,0.050,-39.03,0.0031,3.570,4.118,25973.00,268985.71,10.356,1857,0.401,1,8,0
0.50,0.20,0.75,0.100,-39.93,0.0049,3.206,3.812,9076.19,118664.30,13.074,805,0.393,1,8,0
0.50,0.20,0.75,0.150,-44.37,0.0099,7.370,8.810,3561.50,118968.35,33.404,1518,0.396,1,7,0
0.50,0.20,1.00,0.000,-41.53,0.0206,4.118,4.237,21365.25,99079.27,4.637,1346,0.370,1,9,0
0.50,0.20,1.00,0.050,-44.17,0.0062,3.295,3.581,19001.45,288976.66,15.208,1372,0.341,1,8,0
0.50,0.20,1.00,0.100,-42.56,0.0072,4.915,5.758,26628.06,257085.72,9.655,2301,0.346,1,8,0
0.50,0.20,1.00,0.150,-50.42,0.0155,4.842,5.535,1692.24,88832.72,52.494,962,0.346,1,8,0
0.50,0.20,1.25,0.000,-48.10,0.0053,4.168,4.661,22657.62,186467.00,8.230,1139,0.448,1,8,0
0.50,0.20,1.25,0.050,-52.98,0.0062,4.599,5.380,7007.80,108297.76,15.454,1219,0.411,1,8,0
0.50,0.20,1.25,0.100,-45.56,0.0038,6.192,6.892,55823.69,321691.89,5.763,1344,0.439,1,8,0
0.50,0.20,1.25,0.150,-49.79,0.0087,3.718,4.182,14501.08,55801.58,3.848,990,0.455,1,8,0
0.50,0.20,1.50,0.000,-51.31,0.0085,3.119,3.240,1378.73,95158.86,69.019,893,0.462,1,8,0
0.50,0.20,1.50,0.050,-52.11,0.0062,3.768,4.171,26383.93,218570.01,8.284,1104,0.500,1,8,0
0.50,0.20,1.50,0.100,-39.89,0.0094,3.069,3.247,11956.92,207794.04,17.379,1210,0.486,1,8,0
0.50,0.20,1.50,0.150,-49.12,0.0079,3.502,3.910,19734.95,52688.63,2.670,1161,0.457,1,7,0
0.50,0.20,1.75,0.000,-53.71,0.0310,3.638,4.128,4088.89,97709.80,23.896,903,0.520,1,9,0
